SKU,COST,CURRENCY,CREATED_DATE
92-3A5P-M0LT",",","7/26/2015 9:31:00 AM
belkin ipad leather RED",",","12/28/2015 12:26:12 PM
H1-H34J-QO57",",","7/26/2015 9:31:00 AM
K3-Y4WN-MMVY",",","7/26/2015 9:31:00 AM
LA-L122-5Y4K",",","7/26/2015 9:31:00 AM
M6-PSTB-2LCY",",","12/28/2015 12:26:12 PM
N5-R3D6-IG7N",",","7/26/2015 9:31:00 AM
NX-I9RK-VEEX",",","7/26/2015 9:31:00 AM
P7-VN8Q-XQIN",",","7/26/2015 9:31:00 AM
quilted ipad mini black",",","12/28/2015 12:26:12 PM
quilted ipad mini white",",","12/28/2015 12:26:12 PM
quilted ipad red",",","12/28/2015 12:26:12 PM
SD-JN3V-DQUN",",","7/26/2015 9:31:00 AM
SK-0SU7-GO1R",",","7/26/2015 9:31:00 AM
TU-HOG7-JL82",",","7/26/2015 9:31:00 AM
U5-6VZU-6GID",",","7/26/2015 9:31:00 AM
U8-PGNT-Q0YX",",","7/26/2015 9:31:00 AM
