SKU,MARKETPLACE_ID,MAP_PRICE,HANDLING_DAYS
92-3A5P-M0LT","4037","0.00","0
belkin ipad leather RED","4037","0.00","0
H1-H34J-QO57","4037","0.00","0
K3-Y4WN-MMVY","4037","0.00","0
LA-L122-5Y4K","4037","0.00","0
M6-PSTB-2LCY","4037","0.00","0
N5-R3D6-IG7N","4037","0.00","0
NX-I9RK-VEEX","4037","0.00","0
P7-VN8Q-XQIN","4037","0.00","0
quilted ipad mini black","4037","0.00","0
quilted ipad mini white","4037","0.00","0
quilted ipad red","4037","0.00","0
SD-JN3V-DQUN","4037","0.00","0
SK-0SU7-GO1R","4037","0.00","0
TU-HOG7-JL82","4037","0.00","0
U5-6VZU-6GID","4037","0.00","0
U8-PGNT-Q0YX","4037","0.00","0
